year,region,variable,Coverage,dlm.geomean,dlm.lower,dlm.upper,fixed.effects,lower.whisker,q.25,median,q.75,upper.whisker
1970,Atlantic Ocean Tunas,BvB,1,1.747771553,1.747771553,1.747771553,1.80304926,0.793,1.16830427,1.79,1.920094867,2.405
1971,Atlantic Ocean Tunas,BvB,1,1.722069603,1.722069603,1.722069603,1.774271222,0.805,1.086157876,1.695737257,1.88,2.363
1972,Atlantic Ocean Tunas,BvB,1,1.690492515,1.690492515,1.690492515,1.738755304,0.812,0.990320417,1.655,1.88,2.299
1973,Atlantic Ocean Tunas,BvB,1,1.675901629,1.675901629,1.675901629,1.722867239,0.816,0.914,1.67,1.89,2.261
1974,Atlantic Ocean Tunas,BvB,1,1.658938947,1.658938947,1.658938947,1.704261416,0.732,0.943,1.67,1.89,2.208
1975,Atlantic Ocean Tunas,BvB,1,1.615549745,1.615549745,1.615549745,1.655281517,0.65,0.915,1.615342581,1.89,2.146
1976,Atlantic Ocean Tunas,BvB,1,1.575293426,1.575293426,1.575293426,1.61001076,0.572,0.908,1.64,1.89,2.098
1977,Atlantic Ocean Tunas,BvB,1,1.521990674,1.521990674,1.521990674,1.549935966,0.491,0.878,1.611888976,1.89,2.103
1978,Atlantic Ocean Tunas,BvB,1,1.498372532,1.498372532,1.498372532,1.523869963,0.439,0.841,1.579963,1.84,2.082
1979,Atlantic Ocean Tunas,BvB,1,1.471288637,1.471288637,1.471288637,1.493885468,0.388,0.9,1.571498843,1.79,2.071
1980,Atlantic Ocean Tunas,BvB,1,1.44847433,1.44847433,1.44847433,1.468794382,0.352,0.963,1.545714568,1.79,2.078
1981,Atlantic Ocean Tunas,BvB,1,1.422568641,1.422568641,1.422568641,1.440218343,0.302,0.9595,1.515,1.77,2.039
1982,Atlantic Ocean Tunas,BvB,1,1.391160773,1.391160773,1.391160773,1.405442909,0.285,0.9669,1.482131331,1.624,1.995
1983,Atlantic Ocean Tunas,BvB,1,1.349971429,1.349971429,1.349971429,1.359674593,0.273,0.93,1.405,1.609201503,1.943
1984,Atlantic Ocean Tunas,BvB,1,1.31071827,1.31071827,1.31071827,1.316205239,0.26,0.81,1.34,1.598737407,1.936
1985,Atlantic Ocean Tunas,BvB,1,1.281646155,1.281646155,1.281646155,1.284278631,0.234,0.77,1.34,1.518174228,1.899
1986,Atlantic Ocean Tunas,BvB,1,1.226314407,1.226314407,1.226314407,1.222998887,0.24,0.74,1.32,1.414,1.849
1987,Atlantic Ocean Tunas,BvB,1,1.184492028,1.184492028,1.184492028,1.177024428,0.231,0.652,1.231145525,1.374,1.837
1988,Atlantic Ocean Tunas,BvB,1,1.180709061,1.180709061,1.180709061,1.173501044,0.229,0.67,1.151385315,1.41,1.824
1989,Atlantic Ocean Tunas,BvB,1,1.181172894,1.181172894,1.181172894,1.174705479,0.222,0.64,1.134018979,1.44,1.799
1990,Atlantic Ocean Tunas,BvB,1,1.146532708,1.146532708,1.146532708,1.136806213,0.213,0.64,1.211214062,1.38,1.76
1991,Atlantic Ocean Tunas,BvB,1,1.121050761,1.121050761,1.121050761,1.109154115,0.209,0.59,1.184345274,1.33,1.711
1992,Atlantic Ocean Tunas,BvB,1,1.093928682,1.093928682,1.093928682,1.079726662,0.203,0.609,1.12507936,1.28,1.65
1993,Atlantic Ocean Tunas,BvB,1,1.106631146,1.106631146,1.106631146,1.094414825,0.206,0.653,1.115883551,1.33,1.62
1994,Atlantic Ocean Tunas,BvB,1,1.076455505,1.076455505,1.076455505,1.061602965,0.205,0.639,1.05959568,1.29,1.61
1995,Atlantic Ocean Tunas,BvB,1,1.056371102,1.056371102,1.056371102,1.039994578,0.215,0.656,1.038461488,1.2,1.62
1996,Atlantic Ocean Tunas,BvB,1,1.034145661,1.034145661,1.034145661,1.016046878,0.234,0.665,0.98845,1.222,1.66
1997,Atlantic Ocean Tunas,BvB,1,1.006984002,1.006984002,1.006984002,0.986703636,0.251,0.664,0.96115,1.126,1.7
1998,Atlantic Ocean Tunas,BvB,1,0.985939999,0.985939999,0.985939999,0.964123349,0.256,0.688,0.93265,1.062,1.27
1999,Atlantic Ocean Tunas,BvB,1,0.968559991,0.968559991,0.968559991,0.945579829,0.249,0.692,0.913,1.016837872,1.27
2000,Atlantic Ocean Tunas,BvB,1,0.940676129,0.940676129,0.940676129,0.915577189,0.253,0.683,0.851,0.99,1.32
2001,Atlantic Ocean Tunas,BvB,1,0.905888229,0.905888229,0.905888229,0.878135342,0.293445174,0.664,0.829,0.94,1.3
2002,Atlantic Ocean Tunas,BvB,1,0.893466116,0.893466116,0.893466116,0.865066419,0.44,0.66,0.838153005,0.9,1.23
2003,Atlantic Ocean Tunas,BvB,1,0.907099533,0.907099533,0.907099533,0.88029984,0.284774166,0.65,0.8385,0.902,1.0455
2004,Atlantic Ocean Tunas,BvB,1,0.904698582,0.904698582,0.904698582,0.878094122,0.252,0.6,0.7965,0.937631987,1.0713
2005,Atlantic Ocean Tunas,BvB,1,0.89485392,0.89485392,0.89485392,0.867778105,0.258,0.614,0.80005,0.957,1.4
2006,Atlantic Ocean Tunas,BvB,1,0.894354957,0.894354957,0.894354957,0.867616014,0.268,0.59,0.8138,0.975,1.36
2007,Atlantic Ocean Tunas,BvB,0.928571429,0.907563776,0.86461803,0.952642645,0.861955408,0.301,0.54,0.786,1.01,1.38
2008,Atlantic Ocean Tunas,BvB,0.928571429,0.869560743,0.828232905,0.91295079,0.82195125,0.26,0.357336814,0.823,1.03,1.42
2009,Atlantic Ocean Tunas,BvB,0.785714286,0.896116895,0.823519077,0.975114617,0.99267134,0.326760101,0.698,0.881,1.111051024,1.51
2010,Atlantic Ocean Tunas,BvB,0.785714286,0.921850897,0.84701291,1.003301208,1.02428868,0.322196412,0.68775,0.904,1.184671782,1.46
2011,Atlantic Ocean Tunas,BvB,0.642857143,0.967086538,0.866455945,1.079404415,1.175466831,0.442,0.883,1.12,1.2573,1.55
2012,Atlantic Ocean Tunas,BvB,0.642857143,0.983701736,0.880620249,1.098849485,1.196849673,0.479,0.913,1.14,1.2951,1.73
2013,Atlantic Ocean Tunas,BvB,0.357142857,0.968822761,0.832022555,1.128115501,0.989308639,0.7444,0.942,1.153699207,1.2,1.319
2014,Atlantic Ocean Tunas,BvB,0.285714286,0.990985126,0.840354283,1.16861607,0.998289504,0.7435,0.86175,1.135,1.3171,1.3442
1970,Australia,BvB,0.454545455,3.07049204,2.546704239,3.702008746,3.029031034,0.729099621,1.358913269,2.084439733,4.330189582,7.764475662
1971,Australia,BvB,0.454545455,3.065925185,2.548387847,3.688566187,3.022255587,0.735116975,1.396026446,2.084439733,4.290735128,7.980859762
1972,Australia,BvB,0.454545455,3.111045574,2.590477588,3.736224011,3.087289663,0.748512235,1.507365979,2.084439733,4.29354814,8.208268382
1973,Australia,BvB,0.454545455,3.084253715,2.574453891,3.69500538,3.048308424,0.713845262,1.524495138,2.084439733,4.310245506,4.664070744
1974,Australia,BvB,0.454545455,3.032980453,2.538536609,3.62372967,2.974326843,0.640397623,1.49309168,2.084439733,4.253750342,4.67292314
1975,Australia,BvB,0.545454545,3.078273635,2.621321136,3.614882755,3.306618319,0.628108074,1.619890177,2.58871721,4.231352124,4.672566776
1976,Australia,BvB,0.545454545,3.048990499,2.60092568,3.574244021,3.268874132,0.584545277,1.679471837,2.56243031,4.253226757,4.662823471
1977,Australia,BvB,0.545454545,3.041668109,2.598893833,3.559877964,3.263860787,0.58780253,1.784157917,2.522759744,4.193105397,4.644770415
1978,Australia,BvB,0.545454545,3.039648408,2.601381903,3.551751641,3.266846308,0.617889296,1.759959248,2.516557711,4.153027503,4.621201821
1979,Australia,BvB,0.545454545,3.041891261,2.607539555,3.548595237,3.276319575,0.685560498,1.708740066,2.470860642,4.132908743,4.596353559
1980,Australia,BvB,0.681818182,3.046296074,2.681562168,3.460639429,3.399711742,0.744721623,1.925404866,3.073141141,4.058195259,6.306247746
1981,Australia,BvB,0.681818182,2.950130913,2.600404625,3.346891602,3.268330915,0.789423553,1.733570595,2.931015026,4.023118824,7.00043626
1982,Australia,BvB,0.681818182,2.868641572,2.531763147,3.250345308,3.158944152,0.844294128,1.675762849,2.974976356,4.014975809,6.527408478
1983,Australia,BvB,0.681818182,2.785195237,2.461232351,3.151800156,3.047345118,0.801645049,1.590319449,3.130536947,4.00351887,6.313077527
1984,Australia,BvB,0.727272727,2.708174069,2.417980721,3.033194899,2.695487123,0.267382818,1.016114661,2.465499872,3.994118899,6.205829866
1985,Australia,BvB,0.727272727,2.677690721,2.392626237,2.996718622,2.658609034,0.27876081,1.048552328,2.384332121,3.988432011,6.162270833
1986,Australia,BvB,0.863636364,2.644912291,2.44393694,2.862414703,2.866364907,0.286887948,1.224519519,2.909618675,4.416686779,6.111785581
1987,Australia,BvB,0.909090909,2.638090448,2.473680641,2.813427528,2.818086313,0.288513375,1.18061,2.538063253,4.409500113,6.052839046
1988,Australia,BvB,0.909090909,2.633581285,2.469711159,2.80832451,2.8182944,0.290545159,1.159828769,2.767868843,4.443958887,5.977682213
1989,Australia,BvB,0.909090909,2.566730019,2.407543773,2.736441624,2.736547044,0.297046869,1.174993816,2.825555477,4.353059678,5.82789661
1990,Australia,BvB,0.954545455,2.463928969,2.355312553,2.577554285,2.593433971,0.306799434,1.116250185,2.816114366,4.150823208,4.543648087
1991,Australia,BvB,0.954545455,2.364653472,2.260690204,2.47339774,2.471985403,0.322647352,1.128809383,2.73004342,3.542977261,4.308962505
1992,Australia,BvB,1,2.207885923,2.207885923,2.207885923,2.244668182,0.342558838,1.017169292,2.180429746,3.728076598,7.624571483
1993,Australia,BvB,1,2.046362639,2.046362639,2.046362639,2.050986901,0.282138094,1.020123209,1.900331787,3.69569704,5.394619315
1994,Australia,BvB,1,1.95565684,1.95565684,1.95565684,1.944776586,0.23450439,0.885521875,1.8570816,3.475589416,4.445784586
1995,Australia,BvB,1,1.881363144,1.881363144,1.881363144,1.858860118,0.261985373,0.753528301,1.800532722,3.278880287,4.007713766
1996,Australia,BvB,1,1.843790923,1.843790923,1.843790923,1.817066019,0.28763429,0.793651027,1.774068144,3.043120109,4.375326407
1997,Australia,BvB,1,1.855990835,1.855990835,1.855990835,1.834660327,0.269313635,0.745938364,1.725880469,3.196478814,4.816240603
1998,Australia,BvB,1,1.813922409,1.813922409,1.813922409,1.787412654,0.216183734,0.825300149,1.702252278,3.001010685,4.116123786
1999,Australia,BvB,1,1.726166985,1.726166985,1.726166985,1.686090035,0.170382096,0.827909345,1.654668256,2.476253549,3.670350814
2000,Australia,BvB,1,1.645490853,1.645490853,1.645490853,1.593808915,0.137771329,0.885230884,1.362590327,2.432359175,3.608926687
2001,Australia,BvB,1,1.604568633,1.604568633,1.604568633,1.548464843,0.1313591,0.998028939,1.522889504,2.417636276,4.157941826
2002,Australia,BvB,1,1.578121253,1.578121253,1.578121253,1.520048698,0.133191165,0.960675639,1.58699993,2.090704914,3.493764546
2003,Australia,BvB,1,1.561449085,1.561449085,1.561449085,1.502991902,0.139420188,0.941500626,1.655983995,2.143458812,3.4158667
2004,Australia,BvB,0.954545455,1.559385245,1.490447592,1.63151147,1.455806939,0.143633939,0.854268938,1.608655994,2.322621297,3.927199475
2005,Australia,BvB,0.954545455,1.521995344,1.454540214,1.592578743,1.416323357,0.153893506,0.73394937,1.555525021,2.288126921,3.892032397
2006,Australia,BvB,0.954545455,1.496940107,1.430456092,1.566514133,1.390814915,0.188702751,0.661757628,1.457644573,2.239797744,3.611009729
2007,Australia,BvB,0.909090909,1.426533098,1.337254277,1.521772421,1.301479984,0.222345235,0.612966518,1.369427804,2.181915559,3.517808996
2008,Australia,BvB,0.727272727,1.387527177,1.239256035,1.553538263,1.306495358,0.202570445,0.876210052,1.582836477,2.196476555,3.693787331
2009,Australia,BvB,0.636363636,1.36300947,1.194470773,1.555328817,1.382414831,0.181257576,0.770226136,1.542375874,2.090778863,3.555547142
2010,Australia,BvB,0.5,1.334307078,1.139749641,1.562075841,1.252090646,0.159872116,1.225471205,1.681660072,2.169013025,3.367568989
2011,Australia,BvB,0.454545455,1.307353084,1.105242388,1.546422851,1.200102679,0.144126978,1.092420477,1.555194759,2.084406512,3.046053665
2012,Australia,BvB,0.454545455,1.282177739,1.080453352,1.521564768,1.168581743,0.142176852,1.102164384,1.462072212,2.098238144,2.717897111
2013,Australia,BvB,0.409090909,1.292486902,1.078525489,1.54889468,1.13210259,1.079465802,1.111045926,1.211291232,1.751434417,2.206874372
2014,Australia,BvB,0.363636364,1.315924645,1.087326093,1.59258357,1.138181678,0.142752667,1.20207672,1.481649707,2.061191401,2.822488891
2015,Australia,BvB,0.181818182,1.334491597,1.067164098,1.668785359,1.254451299,0.14447906,0.756254261,1.519445583,1.789294986,1.907728267
2016,Australia,BvB,0.090909091,1.370144713,1.071260964,1.75241757,0.930638891,0.170386876,0.170386876,1.070145272,1.969903668,1.969903668
1970,Canada East Coast,BvB,0.323529412,1.736679963,1.29652684,2.326259049,1.869822056,0.224040932,0.766864576,1.06741573,1.508076923,1.837921675
1971,Canada East Coast,BvB,0.352941176,1.738128211,1.31709601,2.293750535,1.823632916,0.090494005,0.662533706,0.863062753,1.325,1.927103528
1972,Canada East Coast,BvB,0.352941176,1.683948322,1.28703719,2.203263413,1.693715877,0.083442524,0.612897468,0.738343799,1.145,1.19
1973,Canada East Coast,BvB,0.352941176,1.647976852,1.270072295,2.138325286,1.610085624,0.068751939,0.561707595,0.712598116,1.000037453,1.06
1974,Canada East Coast,BvB,0.411764706,1.530724354,1.205739222,1.943303333,1.531538213,0.065813822,0.447,0.675961538,0.996,1.730074193
1975,Canada East Coast,BvB,0.441176471,1.507157268,1.201566786,1.89046756,1.464575631,0.061700458,0.434469086,0.664284531,1.01697191,1.842810857
1976,Canada East Coast,BvB,0.441176471,1.514931013,1.213769109,1.890817584,1.488524309,0.062875704,0.431969013,0.674273772,0.9925,1.01
1977,Canada East Coast,BvB,0.441176471,1.552974633,1.250237492,1.929017668,1.574601221,0.089906381,0.482339488,0.753061224,0.988146067,1.01
1978,Canada East Coast,BvB,0.588235294,1.623870761,1.352901375,1.949111959,1.927689208,0.113,0.521787533,0.82419902,1.54720561,2.644975583
1979,Canada East Coast,BvB,0.588235294,1.551394896,1.296338844,1.856633499,1.803797487,0.139,0.606075411,0.72272259,1.52906799,2.666933253
1980,Canada East Coast,BvB,0.588235294,1.542817298,1.29151299,1.843020732,1.819149425,0.198029088,0.528434338,0.799891392,1.401209138,2.454164147
1981,Canada East Coast,BvB,0.588235294,1.542909697,1.293848813,1.839913836,1.857186362,0.155777676,0.519400418,0.780740351,1.59628816,1.980064255
1982,Canada East Coast,BvB,0.588235294,1.544641633,1.297692933,1.83858424,1.904266794,0.122433528,0.535432038,0.829979851,1.673235162,3.173007936
1983,Canada East Coast,BvB,0.617647059,1.644236984,1.388790873,1.946668365,2.086178849,0.232111246,0.614338325,0.893761027,1.574253587,2.155004697
1984,Canada East Coast,BvB,0.647058824,1.549781601,1.323037482,1.815385463,1.991032966,0.223296894,0.574381361,0.967464791,1.5,2.715130842
1985,Canada East Coast,BvB,0.647058824,1.538094727,1.314741382,1.799392201,2.028244522,0.226235011,0.613849835,0.905845318,1.411399767,2.280749437
1986,Canada East Coast,BvB,0.676470588,1.483160733,1.279729994,1.718929596,1.920291072,0.226235011,0.644254285,1.043816569,1.347394473,1.6
1987,Canada East Coast,BvB,0.676470588,1.372631268,1.189186392,1.584374502,1.742833493,0.193328101,0.503982299,0.847482139,1.418817064,2.425945308
1988,Canada East Coast,BvB,0.735294118,1.262654761,1.113365195,1.431962354,1.570745224,0.164534554,0.566847335,0.84409087,1.147799223,2.012613809
1989,Canada East Coast,BvB,0.735294118,1.153537946,1.020308472,1.304164209,1.406561254,0.1380915,0.524344569,0.702040816,1.330538321,2.183174301
1990,Canada East Coast,BvB,0.794117647,1.05216592,0.946793698,1.169265412,1.249714071,0.1104732,0.464337079,0.736551349,0.992405338,1.3918642
1991,Canada East Coast,BvB,0.823529412,0.875050746,0.795269161,0.962836037,0.912956523,0.086968264,0.364151685,0.545648331,0.800855649,1.214087153
1992,Canada East Coast,BvB,0.823529412,0.765223162,0.695827031,0.841540299,0.763033904,0.0485,0.282036351,0.467935212,1.018452163,1.494513115
1993,Canada East Coast,BvB,0.852941176,0.660459974,0.605338248,0.720601051,0.625618218,0.00999,0.29,0.442090547,0.739203839,1.264948404
1994,Canada East Coast,BvB,0.852941176,0.535765767,0.489453907,0.586459629,0.463906449,0.00314,0.122,0.419301415,0.718117715,1.479661017
1995,Canada East Coast,BvB,0.882352941,0.538279723,0.497408087,0.58250975,0.477439885,0.00355,0.136559835,0.408139582,0.805488977,1.506280003
1996,Canada East Coast,BvB,0.941176471,0.533127331,0.504616974,0.563248495,0.468063892,0.00355,0.143116142,0.470649418,0.803359721,1.56266154
1997,Canada East Coast,BvB,1,0.521881601,0.521881601,0.521881601,0.47149605,0.00512,0.167888268,0.561374939,0.956552173,1.776121023
1998,Canada East Coast,BvB,1,0.535507158,0.535507158,0.535507158,0.495202113,0.00487,0.247010028,0.480265455,0.828652539,1.660272403
1999,Canada East Coast,BvB,1,0.575933137,0.575933137,0.575933137,0.556356389,0.00664,0.258962126,0.551346508,1.1,1.869722153
2000,Canada East Coast,BvB,1,0.617954424,0.617954424,0.617954424,0.621919196,0.00489,0.247312714,0.648994306,1.422109968,2.378801566
2001,Canada East Coast,BvB,1,0.594373168,0.594373168,0.594373168,0.590591073,0.00738,0.216085857,0.525595742,1.264630265,2.318578741
2002,Canada East Coast,BvB,1,0.547921337,0.547921337,0.547921337,0.526044613,0.00339,0.156003115,0.568505309,1.225289718,2.273411623
2003,Canada East Coast,BvB,0.970588235,0.555431278,0.534972374,0.576672589,0.55646309,0.00307,0.217692443,0.457541683,1.435497063,3.104028488
2004,Canada East Coast,BvB,0.970588235,0.572422048,0.551387518,0.59425901,0.581293733,0.00347,0.252234049,0.581620783,1.218644068,2.472528748
2005,Canada East Coast,BvB,0.970588235,0.557040898,0.536446953,0.578425434,0.556778552,0.00263,0.207169701,0.542846064,1.26992967,2.26818753
2006,Canada East Coast,BvB,0.970588235,0.607296834,0.584994076,0.63044988,0.631719739,0.0172,0.26267686,0.649,1.143706358,2.351521278
2007,Canada East Coast,BvB,0.941176471,0.672515036,0.637732676,0.709194449,0.734995024,0.030850229,0.255725337,0.739346154,1.555485306,2.771612529
2008,Canada East Coast,BvB,0.911764706,0.636530516,0.596085222,0.679720086,0.677517149,0.02585543,0.284985956,0.728846154,1.266189276,2.209513504
2009,Canada East Coast,BvB,0.911764706,0.66854153,0.625705688,0.714309916,0.728035683,0.020684344,0.338109851,0.690543783,1.364487733,2.319272834
2010,Canada East Coast,BvB,0.764705882,0.642737584,0.575265685,0.718123144,0.650989778,0.018686424,0.209849265,0.80388316,1.241611395,2.503050576
2011,Canada East Coast,BvB,0.705882353,0.658482786,0.579538751,0.748180477,0.670603855,0.016042119,0.199657744,1.047144149,1.483878703,2.254237288
2012,Canada East Coast,BvB,0.5,0.651031587,0.545800995,0.776550667,0.622732275,0.014279249,0.242034736,1.23,1.753989762,2.237288136
2013,Canada East Coast,BvB,0.411764706,0.631365563,0.514842751,0.774260631,0.602255377,0.013632863,0.195200235,1.162202214,1.81,2.149216201
2014,Canada East Coast,BvB,0.294117647,0.639249283,0.502115357,0.813836183,0.608903734,0.014984397,0.255447221,0.744829985,1.6,2.474576271
2015,Canada East Coast,BvB,0.147058824,0.662339255,0.493436826,0.889056643,0.692645585,0.018216326,0.066239857,0.378351073,1.76,2.06779661
1970,Canada West Coast,BvB,0.842105263,1.440513231,1.318633058,1.573658688,1.563676655,0.285732228,0.748927201,0.989792622,1.976789426,3.757225434
1971,Canada West Coast,BvB,0.842105263,1.485810204,1.36095633,1.622118149,1.643427447,0.265636775,0.862901261,1.076736839,2.373848492,3.562138728
1972,Canada West Coast,BvB,0.842105263,1.610744576,1.474909506,1.759089679,1.873529824,0.256845014,0.908866633,1.3530388,2.609641711,3.439306358
1973,Canada West Coast,BvB,0.842105263,1.664419997,1.523867,1.817936819,1.977365592,0.253077116,1.076260449,1.601368774,2.44102969,3.318819031
1974,Canada West Coast,BvB,0.842105263,1.711138939,1.566229692,1.869455344,2.072500172,0.253705099,1.186441383,1.728312472,2.660906326,3.318819031
1975,Canada West Coast,BvB,0.842105263,1.669858313,1.529770835,1.822774184,1.998776571,0.249937202,1.112876859,1.543388644,2.716192063,3.434256215
1976,Canada West Coast,BvB,0.842105263,1.625677067,1.490490838,1.77312457,1.923001542,0.243657373,1.09833818,1.658872918,2.515049761,3.11680396
1977,Canada West Coast,BvB,0.842105263,1.571561011,1.442065747,1.712684749,1.831352545,0.238633509,1.031372814,1.549200619,2.204676347,2.770492409
1978,Canada West Coast,BvB,0.842105263,1.48744844,1.366232764,1.619418682,1.686766702,0.227329817,0.947126493,1.430881985,1.998362617,2.732975324
1979,Canada West Coast,BvB,0.842105263,1.551031821,1.423915303,1.689496353,1.82024093,0.211002261,1.226605787,1.610617522,2.057427046,2.399396378
1980,Canada West Coast,BvB,0.842105263,1.478284232,1.358324603,1.608838025,1.698678381,0.190278824,1.100165526,1.454245149,1.962706088,2.334004024
1981,Canada West Coast,BvB,0.842105263,1.430410481,1.315046266,1.555895178,1.626093286,0.179603115,1.066959626,1.346430673,1.851086689,2.323943662
1982,Canada West Coast,BvB,0.842105263,1.35694445,1.248293796,1.475051984,1.508177244,0.164531525,0.916684578,1.249494278,1.793235964,2.35915493
1983,Canada West Coast,BvB,0.842105263,1.30410137,1.200161209,1.417043286,1.429179661,0.150715901,0.767210646,1.259207742,1.747476368,2.354124748
1984,Canada West Coast,BvB,0.842105263,1.266593804,1.166002325,1.375863349,1.37786541,0.143808088,0.729419151,1.303943627,1.643142792,2.258551308
1985,Canada West Coast,BvB,0.842105263,1.22810455,1.130885138,1.333681676,1.324708955,0.131876413,0.665933765,1.242678273,1.669445818,2.097585513
1986,Canada West Coast,BvB,0.842105263,1.252236356,1.153411623,1.359528428,1.382137931,0.424230843,0.955589827,1.220392321,1.431423243,1.99195171
1987,Canada West Coast,BvB,0.842105263,1.403754925,1.291473553,1.525798097,1.68305168,0.121828686,1.124591524,1.635188333,1.913638738,2.375120055
1988,Canada West Coast,BvB,0.842105263,1.380478237,1.270538747,1.499930772,1.658304919,0.347792853,1.194183252,1.601934885,1.873502576,2.495914426
1989,Canada West Coast,BvB,0.842105263,1.326382464,1.221741948,1.439985295,1.575596143,1.048373214,1.233104327,1.444013214,1.694858183,2.122398516
1990,Canada West Coast,BvB,0.842105263,1.246529843,1.149377463,1.351894133,1.445992702,0.273648003,1.058167989,1.271332551,1.664015887,2.081186895
1991,Canada West Coast,BvB,0.842105263,1.246134763,1.149296132,1.351132928,1.468962696,0.129364481,1.058200163,1.396257716,1.715606858,2.050278178
1992,Canada West Coast,BvB,0.842105263,1.168399349,1.078639293,1.265628878,1.34600677,0.139412208,0.884881395,1.355223344,1.525492236,1.939878032
1993,Canada West Coast,BvB,0.842105263,1.083471759,1.000958439,1.172787008,1.212383588,0.149459935,0.625805329,1.195980187,1.468109152,2.125690104
1994,Canada West Coast,BvB,0.842105263,0.959827858,0.886538551,1.039175923,1.014081169,0.139117141,0.445375959,1.005289857,1.39721524,1.945188543
1995,Canada West Coast,BvB,0.842105263,0.905394023,0.836186487,0.980329566,0.939076236,0.122682973,0.351777774,0.8475392,1.387330721,2.03379353
1996,Canada West Coast,BvB,0.842105263,0.907509698,0.839028553,0.981580244,0.959251463,0.112363845,0.316642319,0.98746271,1.432007489,2.007005976
1997,Canada West Coast,BvB,0.842105263,0.917948161,0.849717763,0.991657303,0.993995975,0.107777565,0.29965802,1.120698178,1.606998045,2.058190052
1998,Canada West Coast,BvB,0.947368421,0.839558403,0.802639239,0.878175745,0.85630894,0.105866616,0.29267568,0.967415301,1.194382743,1.922522151
1999,Canada West Coast,BvB,0.947368421,0.81003956,0.774220394,0.847515893,0.818520132,0.105866616,0.433813698,0.81819654,1.137319976,1.835977746
2000,Canada West Coast,BvB,1,0.788851332,0.788851332,0.788851332,0.747751382,0.07705432,0.392353078,0.776513931,1.089691012,1.747372759
2001,Canada West Coast,BvB,1,0.861556713,0.861556713,0.861556713,0.857282227,0.103955666,0.545191803,0.773121387,1.141494966,1.69173707
2002,Canada West Coast,BvB,0.947368421,0.939596815,0.89938101,0.981610869,0.959740141,0.099369387,0.552172581,0.904355662,1.170597349,1.778281475
2003,Canada West Coast,BvB,0.894736842,0.975180252,0.916296285,1.037848281,1.000150019,0.095929677,0.529650016,0.895414996,1.205026683,2.000824232
2004,Canada West Coast,BvB,0.894736842,0.956102411,0.897843661,1.018141421,0.972287884,0.094400917,0.555613252,0.83790499,1.22740575,1.657443683
2005,Canada West Coast,BvB,0.894736842,0.90131021,0.845621561,0.960666252,0.887336073,0.092489968,0.387632254,0.901154836,1.227821173,1.601861993
2006,Canada West Coast,BvB,0.894736842,0.906731681,0.850376462,0.966821612,0.89703479,0.090579018,0.454875896,0.830640574,1.256670683,1.934325985
2007,Canada West Coast,BvB,0.894736842,0.804231351,0.752478711,0.859543341,0.741249925,0.087139308,0.376887663,0.769138522,1.21149471,1.642935378
2008,Canada West Coast,BvB,0.894736842,0.870321388,0.81510332,0.92928013,0.838843262,0.084846169,0.341622708,0.867052023,1.330693751,2.802390274
2009,Canada West Coast,BvB,0.894736842,0.914552222,0.856639403,0.976380217,0.904489473,0.079495509,0.369390736,0.899330429,1.373239437,2.719967031
2010,Canada West Coast,BvB,0.842105263,0.99898396,0.921748297,1.082691399,1.030986522,0.07376266,0.478435053,0.934805737,1.520383165,2.8469605
2011,Canada West Coast,BvB,0.789473684,0.995082991,0.905419575,1.093625746,1.045129655,0.07338047,0.402809366,1.123840698,1.612497195,2.984716653
2012,Canada West Coast,BvB,0.684210526,1.001677379,0.889489328,1.1280153,0.977751316,0.07185171,0.411956795,0.996442911,1.241224641,1.574479737
2013,Canada West Coast,BvB,0.578947368,1.066333189,0.924665759,1.229705393,1.167499508,0.311680396,0.505003197,0.802626784,1.473231783,1.547097481
2014,Canada West Coast,BvB,0.473684211,1.12222736,0.948395182,1.327921389,1.234178358,0.386714565,0.447123838,0.846103096,1.375009333,1.516639389
2015,Canada West Coast,BvB,0.210526316,1.17068901,0.931589765,1.471154803,1.106533622,0.620211606,0.64269624,0.813688593,1.34326617,1.724336028
1970,European Union non Mediterranean,BvB,0.191780822,1.774114478,1.453893984,2.164863611,2.008890431,0.145691883,0.938539986,1.791931905,1.873,2.393219955
1971,European Union non Mediterranean,BvB,0.232876712,1.741270436,1.448727173,2.09288732,1.90700377,0.140471903,0.979902913,1.68547541,1.814,2.21585034
1972,European Union non Mediterranean,BvB,0.246575342,1.730976453,1.451715985,2.063957077,1.924434966,0.135639663,0.902718447,1.692024945,2.233106061,3.2577
1973,European Union non Mediterranean,BvB,0.246575342,1.696035492,1.432701897,2.00777035,1.832617101,0.129557116,0.982866596,1.590266234,2.083863636,3.468973333
1974,European Union non Mediterranean,BvB,0.287671233,1.647832649,1.409300173,1.926738173,1.807662641,0.123527442,1.024722222,1.736,2.427424242,3.905626761
1975,European Union non Mediterranean,BvB,0.287671233,1.562714031,1.346072157,1.814223056,1.560724371,0.08116,0.730679612,1.435746667,1.934583333,3.541814059
1976,European Union non Mediterranean,BvB,0.287671233,1.510209759,1.307998395,1.743682197,1.442243088,0.109077857,0.710291262,1.319773143,1.676,2.65696
1977,European Union non Mediterranean,BvB,0.315068493,1.490268792,1.301471433,1.706453953,1.383086533,0.074012857,0.671531257,1.282857143,1.89513439,3.660634921
1978,European Union non Mediterranean,BvB,0.356164384,1.448910953,1.27695346,1.644024637,1.325722067,0.097995,0.6685752,1.177558346,1.71,2.402605
