"year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
1970,"BvB",0.41712204007286,1.83970545348653,1.74599141028312,1.938449488156,1.88870488659105,0.0176530612244898,0.955264240785374,1.85314754098361,2.4993735420321,4.6027519054084
1971,"BvB",0.431693989071038,1.82559077854942,1.73569040028421,1.92014756213375,1.89007737092843,0.0172040816326531,0.979902912621359,1.83328813559322,2.499862776029,4.62588314343952
1972,"BvB",0.4408014571949,1.8118818047047,1.72524848098551,1.90286541933059,1.88158256613712,0.017,0.946237420517699,1.80151515140133,2.49112887590346,4.6944888399008
1973,"BvB",0.462659380692168,1.78063199625501,1.69914532768878,1.86602655724562,1.86140387451667,0.0170408163265306,0.938200501852073,1.79149737523481,2.49178532311062,4.66407074404061
1974,"BvB",0.480874316939891,1.72496730521852,1.64925945371288,1.80415046121109,1.82739966888978,0.017530612244898,0.959769303689227,1.85987778801337,2.49894961911041,4.72434915773354
1975,"BvB",0.513661202185792,1.66067732890804,1.5918443102108,1.73248675957759,1.74810514930254,0.0183673469387755,0.910655878808745,1.76681149294971,2.49860326525545,4.774
1976,"BvB",0.526411657559198,1.63614507350462,1.57060748781813,1.70441738137404,1.72675096408615,0.0186122448979592,0.955056179775281,1.69,2.42557137064071,4.59926256549583
1977,"BvB",0.561020036429873,1.61060218840645,1.54983827769696,1.67374844629231,1.64449767863623,0.0162027115031416,0.840812947418143,1.62330281642298,2.4069399837794,4.72537850003277
1978,"BvB",0.597449908925319,1.578458939201,1.52253153894234,1.6364407298087,1.62296517981194,0.0182970151159981,0.837052874173731,1.59374368739771,2.4018025,4.62120182145703
1979,"BvB",0.612021857923497,1.55906502670708,1.50572625384417,1.61429326964018,1.5935911381717,0.0189950422728371,0.800342389146404,1.60242983971413,2.32299430925424,4.59635355875413
1980,"BvB",0.648451730418944,1.53860035370523,1.48932566412975,1.58950530796442,1.5781776967936,0.019469387755102,0.804290143084261,1.59050558247314,2.29492679846046,4.36554334442975
1981,"BvB",0.673952641165756,1.4928636143976,1.44749164971776,1.53965777393383,1.55184104486885,0.0185918367346939,0.792392921941574,1.53175537514175,2.26324071492736,4.46235197005484
1982,"BvB",0.697632058287796,1.46916171244576,1.42670680885389,1.5128799581818,1.51586808887459,0.0169795918367347,0.774093282128895,1.51611016271324,2.19633328421309,4.2658044605827
1983,"BvB",0.704918032786885,1.4338427552742,1.39340152424299,1.47545772778543,1.48317988542185,0.0150408163265306,0.7450625,1.48,2.18884125310301,4.2658044605827
1984,"BvB",0.730418943533698,1.37371626432267,1.33715728003341,1.41127480143358,1.39757990155771,0.0128367346938776,0.761658031088083,1.42183566033417,2.11333333333333,4.08082095766317
1985,"BvB",0.750455373406193,1.33294158040183,1.29918797312812,1.36757212467583,1.35329578210139,0.0116530612244898,0.715175789410775,1.38192788047093,2.09500504464183,4.11399836382304
1986,"BvB",0.774134790528233,1.30054115515496,1.26952174518275,1.33231849132944,1.32591123647285,0.010734693877551,0.722586666666667,1.34075155939479,2.03300370543694,3.98219400883493
1987,"BvB",0.785063752276867,1.27704450979184,1.24759381238394,1.30719042031254,1.3057157676628,0.0105918367346939,0.720612840466926,1.28659517819539,2.02994810350601,3.9887074285241
1988,"BvB",0.797814207650273,1.27150133847241,1.24331343245487,1.30032830944728,1.29623912637821,0.00257002754237098,0.728070175438597,1.3073235782609,2.01261380905329,3.89
1989,"BvB",0.801457194899818,1.23113434566697,1.20432655939737,1.25853886161846,1.25326840185169,0.00985714285714286,0.66997,1.2197926760223,1.96204615384615,3.87
1990,"BvB",0.825136612021858,1.21124085094851,1.18671968488929,1.2362686973911,1.23239754796552,0.0096530612244898,0.638463317677254,1.15990925086507,1.87117150021057,3.71903242297789
1991,"BvB",0.841530054644809,1.15849299268121,1.13633422383157,1.18108386242743,1.17473669727172,0,0.632213482489342,1.13667871529432,1.83,3.54297726124293
